COMUNA_OCURR,ESTABLECIMIENTO,vacunacion_ultimos_3_dias,vacunacion_ultimos_7_dias,vacunacion_ultimos_14_dias
Alhué,Centro de Salud Familiar Villa Alhué,0,49,227
Buin,Centro Comunitario de Salud Familiar Dr. Héctor García,0,0,74
Buin,Centro Comunitario de Salud Familiar Dr. Ramón Galindo,0,38,119
Buin,Centro Medico KINEROD,0,19,113
Buin,Centro de Salud Familiar Alto Jahuel,0,51,389
Buin,Centro de Salud Familiar Dr. Héctor García,0,145,1625
Buin,Centro de Salud Familiar Maipo,0,71,418
Buin,Hospital San Luis (Buin),0,0,0
Buin,KUME FELEN SPA,0,0,49
Buin,Posta de Salud Rural El Recurso,0,0,0
Buin,Posta de Salud Rural Los Morros,0,0,0
Buin,Posta de Salud Rural Valdivia de Paine,0,6,247
Buin,Posta de Salud Rural Viluco,0,17,110
Calera De Tango,Centro de Salud Familiar Calera de Tango,0,34,465
Calera De Tango,Centro de Salud Familiar Los Bajos de San Agustín,0,26,341
Cerrillos,Centro de Salud Familiar Dr. Norman Voulliéme,0,573,2897
Cerrillos,Centro de Salud Familiar Enfermera Sofía Pincheira,0,466,1888
Cerro Navia,Centro de Salud Familiar Cerro Navia,0,174,1062
Cerro Navia,Centro de Salud Familiar Dr. Adalberto Steeger,0,258,1638
Cerro Navia,Centro de Salud Familiar Dr. Arturo Albertz,0,503,2141
Cerro Navia,Centro de Salud Familiar Lo Amor,0,131,752
Colina,CESFAM La Reina de Colina,0,44,367
Colina,Centro Comunitario de Salud Familiar Esmeralda,0,0,14
Colina,Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.),0,71,358
Colina,Centro Médico Clínica Alemana de Chicureo,0,54,378
Colina,Centro de Salud Familiar Colina,0,489,3481
Colina,Centro de Salud Familiar Esmeralda,0,56,519
Colina,Posta de Salud Rural Chacabuco (Colina),0,0,20
Colina,Posta de Salud Rural Colorado,0,0,20
Colina,Posta de Salud Rural Las Canteras,0,0,19
Colina,Posta de Salud Rural Los Ingleses,0,0,16
Colina,Posta de Salud Rural Santa Marta de Liray,0,0,24
Colina,SAR Colina,0,0,0
Colina,VACUNATORIO CHICUREO SpA,0,13,43
Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,0,91,687
Conchalí,Centro de Salud Familiar José Symon Ojeda,0,194,718
Conchalí,Centro de Salud Familiar Juanita Aguirre,0,80,730
Conchalí,Centro de Salud Familiar Lucas Sierra,0,365,1909
Curacavi,Hospital de Curacaví,0,223,1278
El Bosque,Centro de Salud Familiar Canciller Orlando Letelier,0,151,712
El Bosque,Centro de Salud Familiar Cóndores de Chile,0,62,576
El Bosque,Centro de Salud Familiar Dr. Carlos Lorca Tobar,0,154,851
El Bosque,Centro de Salud Familiar Dr. Mario Salcedo,0,61,618
El Bosque,Centro de Salud Familiar Dra. Haydeé López Casoou,0,104,504
El Bosque,Centro de Salud Familiar Santa Laura,0,76,610
El Bosque,Consultorio Tantauco,0,18,130
El Monte,Centro de Salud Familiar El Monte,0,214,1363
Estación Central,Centro de Salud Familiar Las Mercedes,0,155,889
Estación Central,Centro de Salud Familiar Padre Vicente Irarrázabal,0,577,2004
Estación Central,Centro de Salud Familiar San José de Chuchunco,0,206,2426
Estación Central,Clínica Hospital del Profesor,0,53,389
Estación Central,Hospital Clínico Mutual de Seguridad C.CH.C.,0,19,94
Estación Central,Red Salud Santiago ex Clínica Bicentenario,0,42,285
Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,0,31,183
Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens,0,175,519
Huechuraba,Centro de Salud Familiar Dr. Victor Castro Wiren,0,88,682
Huechuraba,Centro de Salud Familiar El Barrero,0,38,580
Huechuraba,Centro de Salud Familiar La Pincoya,0,253,846
Independencia,Centro Médico RedSalud Barrio Independencia,0,1,3
Independencia,Centro de Salud Familiar Agustín Cruz Melo,0,464,2443
Independencia,Centro de Salud Familiar Juan Antonio Ríos,0,170,856
Independencia,"Complejo Hospitalario San José (Santiago, Independencia)",0,31,218
Independencia,Hospital Clínico Universidad de Chile,0,126,838
Independencia,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",0,8,86
Isla De Maipo,Centro Comunitario de Salud Familiar La Islita,0,3,31
Isla De Maipo,Centro Comunitario de Salud Familiar San Vicente de Naltagua,0,8,41
Isla De Maipo,Centro de Salud Familiar Isla de Maipo,0,52,320
Isla De Maipo,Centro de Salud Familiar La Islita,0,76,418
Isla De Maipo,Posta de Salud Rural Gacitúa,0,10,41
Isla De Maipo,Posta de Salud Rural Las Mercedes ( Isla de Maipo ),0,7,29
Isla De Maipo,Posta de Salud Rural San Antonio de Naltagua,0,8,45
La Cisterna,Centro de Salud Familiar Eduardo Frei Montalva,0,108,1119
La Cisterna,Centro de Salud Familiar Santa Anselma,0,234,2097
La Florida,Centro de Salud Familiar Bellavista,0,170,1226
La Florida,Centro de Salud Familiar Dr. Fernando Maffioletti,0,90,685
La Florida,Centro de Salud Familiar José Alvo,0,63,516
La Florida,Centro de Salud Familiar La Florida,0,1296,6366
La Florida,Centro de Salud Familiar Los Castaños,0,83,965
La Florida,Centro de Salud Familiar Los Quillayes,0,69,1080
La Florida,Centro de Salud Familiar Santa Amalia,0,118,894
